,Guam_Anigua,Indonesia_Alam_Kotok,Indonesia_Sangiang,Indonesia_Yapen-West_tip_of_Serui,Malaysia_Sarawak,Papua_New_Guinea_Huon_Peninsula,Philippines_Bohol,Philippines_Mindoro,Singapore_East_Coast_Pk,Thailand_Andaman Sea,Thailand_Hat_Chaweng
XL,0,0,1,0,0,0,0,0,0,0,0
XLI,0,0,1,0,0,0,0,0,0,0,0
XLII,0,0,1,0,0,1,0,0,0,0,0
XLIII,0,0,1,0,0,0,0,0,0,0,0
XLIV,0,0,1,0,0,0,0,0,0,0,0
XLIX,0,0,1,0,0,0,0,0,0,0,0
XLV,0,0,1,0,0,0,0,0,0,0,0
XLVI,0,0,1,0,0,0,0,0,0,0,0
XLVII,0,0,1,0,0,0,0,0,0,0,0
XLVIII,0,0,1,0,0,0,0,0,0,0,0
XV,0,1,0,0,0,0,0,0,0,0,0
XVI,0,1,0,0,0,0,0,0,0,0,0
XVII,0,1,0,0,0,0,1,0,0,0,0
XVIII,0,1,0,0,0,0,0,0,0,0,0
XX,0,1,0,0,0,0,0,0,0,0,0
XXI,0,1,0,0,0,0,0,0,0,0,0
XXII,0,0,0,1,0,0,0,0,0,0,0
XXIII,0,0,0,1,0,0,0,0,0,0,0
XXIV,0,0,0,1,0,0,0,0,0,0,0
XXIX,0,0,0,1,0,0,0,0,0,0,0
XXV,0,0,0,1,0,0,1,0,0,0,0
XXVI,0,0,0,1,0,0,1,0,0,0,0
XXVII,0,0,0,1,0,0,0,0,0,0,0
XXVIII,0,0,0,1,0,0,0,0,0,0,0
XXX,0,0,0,1,0,0,0,0,0,0,0
XXXI,0,0,0,1,1,0,0,0,0,0,0
XXXII,0,0,0,1,0,0,0,0,0,0,0
XXXIII,0,0,0,1,1,0,1,0,0,0,0
XXXIV,0,0,0,1,0,0,0,0,0,0,0
XXXIX,0,0,1,0,0,0,0,0,0,0,0
XXXV,0,0,0,1,0,0,1,0,0,0,0
XXXVI,0,0,1,0,0,0,0,0,1,0,0
XXXVII,0,0,1,0,0,0,0,0,0,0,0
XXXVIII,0,0,1,0,0,0,0,0,0,0,0
